"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication d'aliments pour animaux de ferme (NAF rév. 2, niveau classe, poste 10.91)";"Codes"
"idBank";"010537296";""
"Période";"";""
"1990-01";"91.04";"A"
"1990-02";"92.61";"A"
"1990-03";"91.85";"A"
"1990-04";"93.35";"A"
"1990-05";"93.61";"A"
"1990-06";"88.93";"A"
"1990-07";"91.6";"A"
"1990-08";"92.21";"A"
"1990-09";"93.37";"A"
"1990-10";"93.29";"A"
"1990-11";"93.5";"A"
"1990-12";"94.93";"A"
"1991-01";"94.14";"A"
"1991-02";"95.4";"A"
"1991-03";"95.83";"A"
"1991-04";"95.51";"A"
"1991-05";"100.41";"A"
"1991-06";"97.03";"A"
"1991-07";"94.73";"A"
"1991-08";"96.64";"A"
"1991-09";"95.33";"A"
"1991-10";"95.65";"A"
"1991-11";"94.24";"A"
"1991-12";"96.09";"A"
"1992-01";"96.81";"A"
"1992-02";"95.32";"A"
"1992-03";"95.34";"A"
"1992-04";"96.58";"A"
"1992-05";"96.05";"A"
"1992-06";"97.37";"A"
"1992-07";"97.52";"A"
"1992-08";"95.5";"A"
"1992-09";"94.09";"A"
"1992-10";"94.64";"A"
"1992-11";"96.55";"A"
"1992-12";"95.33";"A"
"1993-01";"96.32";"A"
"1993-02";"94.96";"A"
"1993-03";"95.93";"A"
"1993-04";"96.42";"A"
"1993-05";"92.62";"A"
"1993-06";"95.91";"A"
"1993-07";"100.35";"A"
"1993-08";"96.16";"A"
"1993-09";"99.63";"A"
"1993-10";"99.97";"A"
"1993-11";"100.51";"A"
"1993-12";"97.05";"A"
"1994-01";"98.23";"A"
"1994-02";"101.18";"A"
"1994-03";"102.38";"A"
"1994-04";"101.38";"A"
"1994-05";"102.33";"A"
"1994-06";"101.68";"A"
"1994-07";"103.01";"A"
"1994-08";"103.37";"A"
"1994-09";"103.42";"A"
"1994-10";"102.87";"A"
"1994-11";"103.62";"A"
"1994-12";"98.45";"A"
"1995-01";"103.08";"A"
"1995-02";"103.82";"A"
"1995-03";"104.6";"A"
"1995-04";"103.27";"A"
"1995-05";"103.35";"A"
"1995-06";"105.32";"A"
"1995-07";"104.27";"A"
"1995-08";"105.18";"A"
"1995-09";"104.26";"A"
"1995-10";"103.12";"A"
"1995-11";"102.96";"A"
"1995-12";"103.31";"A"
"1996-01";"104.75";"A"
"1996-02";"106.57";"A"
"1996-03";"104.39";"A"
"1996-04";"105.78";"A"
"1996-05";"111.1";"A"
"1996-06";"104.54";"A"
"1996-07";"104.2";"A"
"1996-08";"109.17";"A"
"1996-09";"108.17";"A"
"1996-10";"109.79";"A"
"1996-11";"108.27";"A"
"1996-12";"109.09";"A"
"1997-01";"110.92";"A"
"1997-02";"107.46";"A"
"1997-03";"105.21";"A"
"1997-04";"107.68";"A"
"1997-05";"108.99";"A"
"1997-06";"108.26";"A"
"1997-07";"108.06";"A"
"1997-08";"107.41";"A"
"1997-09";"111.09";"A"
"1997-10";"109.17";"A"
"1997-11";"108.78";"A"
"1997-12";"113.07";"A"
"1998-01";"110.7";"A"
"1998-02";"109.57";"A"
"1998-03";"110.33";"A"
"1998-04";"111.69";"A"
"1998-05";"111.68";"A"
"1998-06";"110.74";"A"
"1998-07";"110.21";"A"
"1998-08";"109.13";"A"
"1998-09";"108.82";"A"
"1998-10";"105.46";"A"
"1998-11";"110.85";"A"
"1998-12";"109.0";"A"
"1999-01";"107.44";"A"
"1999-02";"108.62";"A"
"1999-03";"110.14";"A"
"1999-04";"109.03";"A"
"1999-05";"106.25";"A"
"1999-06";"107.92";"A"
"1999-07";"109.23";"A"
"1999-08";"108.79";"A"
"1999-09";"107.59";"A"
"1999-10";"111.95";"A"
"1999-11";"115.5";"A"
"1999-12";"107.42";"A"
"2000-01";"110.0";"A"
"2000-02";"112.48";"A"
"2000-03";"112.12";"A"
"2000-04";"109.41";"A"
"2000-05";"108.13";"A"
"2000-06";"114.12";"A"
"2000-07";"113.2";"A"
"2000-08";"111.77";"A"
"2000-09";"112.88";"A"
"2000-10";"113.55";"A"
"2000-11";"109.89";"A"
"2000-12";"111.97";"A"
"2001-01";"110.45";"A"
"2001-02";"110.12";"A"
"2001-03";"111.1";"A"
"2001-04";"113.47";"A"
"2001-05";"113.88";"A"
"2001-06";"113.45";"A"
"2001-07";"111.35";"A"
"2001-08";"112.7";"A"
"2001-09";"111.31";"A"
"2001-10";"112.44";"A"
"2001-11";"113.03";"A"
"2001-12";"112.42";"A"
"2002-01";"114.62";"A"
"2002-02";"111.91";"A"
"2002-03";"111.29";"A"
"2002-04";"110.98";"A"
"2002-05";"112.08";"A"
"2002-06";"105.84";"A"
"2002-07";"109.13";"A"
"2002-08";"110.39";"A"
"2002-09";"108.56";"A"
"2002-10";"107.1";"A"
"2002-11";"108.7";"A"
"2002-12";"108.1";"A"
"2003-01";"108.27";"A"
"2003-02";"108.49";"A"
"2003-03";"107.02";"A"
"2003-04";"108.83";"A"
"2003-05";"108.59";"A"
"2003-06";"108.24";"A"
"2003-07";"109.52";"A"
"2003-08";"108.88";"A"
"2003-09";"113.5";"A"
"2003-10";"109.73";"A"
"2003-11";"109.4";"A"
"2003-12";"112.9";"A"
"2004-01";"109.31";"A"
"2004-02";"107.12";"A"
"2004-03";"109.27";"A"
"2004-04";"108.4";"A"
"2004-05";"101.45";"A"
"2004-06";"106.96";"A"
"2004-07";"108.86";"A"
"2004-08";"104.28";"A"
"2004-09";"105.8";"A"
"2004-10";"104.7";"A"
"2004-11";"111.47";"A"
"2004-12";"103.84";"A"
"2005-01";"104.02";"A"
"2005-02";"107.13";"A"
"2005-03";"107.58";"A"
"2005-04";"104.98";"A"
"2005-05";"103.42";"A"
"2005-06";"104.55";"A"
"2005-07";"105.36";"A"
"2005-08";"106.37";"A"
"2005-09";"105.42";"A"
"2005-10";"106.46";"A"
"2005-11";"108.61";"A"
"2005-12";"102.53";"A"
"2006-01";"103.59";"A"
"2006-02";"104.24";"A"
"2006-03";"101.9";"A"
"2006-04";"102.5";"A"
"2006-05";"98.02";"A"
"2006-06";"103.94";"A"
"2006-07";"105.08";"A"
"2006-08";"105.83";"A"
"2006-09";"104.8";"A"
"2006-10";"105.23";"A"
"2006-11";"105.57";"A"
"2006-12";"105.63";"A"
"2007-01";"107.01";"A"
"2007-02";"106.02";"A"
"2007-03";"106.73";"A"
"2007-04";"105.58";"A"
"2007-05";"106.07";"A"
"2007-06";"106.77";"A"
"2007-07";"105.6";"A"
"2007-08";"108.15";"A"
"2007-09";"106.92";"A"
"2007-10";"112.87";"A"
"2007-11";"111.16";"A"
"2007-12";"112.43";"A"
"2008-01";"114.13";"A"
"2008-02";"111.82";"A"
"2008-03";"115.27";"A"
"2008-04";"116.68";"A"
"2008-05";"108.94";"A"
"2008-06";"108.95";"A"
"2008-07";"106.8";"A"
"2008-08";"106.53";"A"
"2008-09";"106.45";"A"
"2008-10";"105.31";"A"
"2008-11";"106.66";"A"
"2008-12";"107.01";"A"
"2009-01";"105.78";"A"
"2009-02";"104.6";"A"
"2009-03";"103.98";"A"
"2009-04";"103.54";"A"
"2009-05";"102.01";"A"
"2009-06";"99.56";"A"
"2009-07";"102.63";"A"
"2009-08";"99.84";"A"
"2009-09";"101.15";"A"
"2009-10";"101.19";"A"
"2009-11";"104.7";"A"
"2009-12";"103.46";"A"
"2010-01";"101.12";"A"
"2010-02";"102.97";"A"
"2010-03";"105.93";"A"
"2010-04";"101.38";"A"
"2010-05";"99.98";"A"
"2010-06";"102.34";"A"
"2010-07";"103.71";"A"
"2010-08";"104.0";"A"
"2010-09";"104.31";"A"
"2010-10";"104.1";"A"
"2010-11";"103.43";"A"
"2010-12";"102.49";"A"
"2011-01";"102.91";"A"
"2011-02";"103.03";"A"
"2011-03";"99.56";"A"
"2011-04";"96.01";"A"
"2011-05";"99.35";"A"
"2011-06";"108.28";"A"
"2011-07";"104.09";"A"
"2011-08";"101.86";"A"
"2011-09";"101.59";"A"
"2011-10";"100.48";"A"
"2011-11";"107.78";"A"
"2011-12";"98.34";"A"
"2012-01";"100.27";"A"
"2012-02";"102.13";"A"
"2012-03";"101.38";"A"
"2012-04";"102.92";"A"
"2012-05";"104.68";"A"
"2012-06";"103.48";"A"
"2012-07";"103.37";"A"
"2012-08";"103.59";"A"
"2012-09";"101.71";"A"
"2012-10";"103.37";"A"
"2012-11";"100.91";"A"
"2012-12";"101.22";"A"
"2013-01";"101.85";"A"
"2013-02";"100.89";"A"
"2013-03";"103.48";"A"
"2013-04";"103.75";"A"
"2013-05";"104.75";"A"
"2013-06";"97.16";"A"
"2013-07";"97.84";"A"
"2013-08";"101.17";"A"
"2013-09";"100.69";"A"
"2013-10";"99.94";"A"
"2013-11";"101.6";"A"
"2013-12";"102.85";"A"
"2014-01";"101.86";"A"
"2014-02";"100.71";"A"
"2014-03";"101.48";"A"
"2014-04";"100.52";"A"
"2014-05";"102.96";"A"
"2014-06";"104.87";"A"
"2014-07";"100.66";"A"
"2014-08";"99.21";"A"
"2014-09";"99.77";"A"
"2014-10";"97.85";"A"
"2014-11";"99.61";"A"
"2014-12";"101.56";"A"
"2015-01";"101.69";"A"
"2015-02";"101.03";"A"
"2015-03";"100.96";"A"
"2015-04";"100.28";"A"
"2015-05";"99.37";"A"
"2015-06";"100.46";"A"
"2015-07";"102.18";"A"
"2015-08";"97.22";"A"
"2015-09";"100.3";"A"
"2015-10";"100.71";"A"
"2015-11";"98.95";"A"
"2015-12";"96.86";"A"
"2016-01";"95.43";"A"
"2016-02";"98.28";"A"
"2016-03";"96.11";"A"
"2016-04";"95.88";"A"
"2016-05";"93.38";"A"
"2016-06";"92.93";"A"
"2016-07";"95.38";"A"
"2016-08";"98.05";"A"
"2016-09";"97.93";"A"
"2016-10";"97.83";"A"
"2016-11";"96.24";"A"
"2016-12";"93.32";"A"
"2017-01";"97.5";"A"
"2017-02";"94.55";"A"
"2017-03";"92.98";"A"
"2017-04";"93.89";"A"
"2017-05";"96.26";"A"
"2017-06";"96.43";"A"
"2017-07";"96.89";"A"
"2017-08";"95.29";"A"
"2017-09";"94.47";"A"
"2017-10";"94.88";"A"
"2017-11";"95.05";"A"
"2017-12";"95.13";"A"
"2018-01";"94.56";"A"
"2018-02";"95.65";"A"
"2018-03";"98.9";"A"
"2018-04";"97.33";"A"
"2018-05";"97.63";"A"
"2018-06";"97.02";"A"
"2018-07";"94.96";"A"
"2018-08";"97.27";"A"
"2018-09";"95.93";"A"
"2018-10";"97.14";"A"
"2018-11";"98.05";"A"
"2018-12";"97.98";"A"
"2019-01";"98.64";"A"
"2019-02";"97.51";"A"
"2019-03";"96.48";"A"
"2019-04";"98.29";"A"
"2019-05";"100.42";"A"
"2019-06";"97.06";"A"
"2019-07";"96.06";"A"
"2019-08";"96.86";"A"
"2019-09";"97.3";"A"
"2019-10";"93.72";"A"
"2019-11";"96.2";"A"
"2019-12";"96.96";"A"
"2020-01";"96.73";"A"
"2020-02";"97.07";"A"
"2020-03";"97.41";"A"
"2020-04";"93.1";"A"
"2020-05";"95.58";"A"
"2020-06";"97.06";"A"
"2020-07";"97.06";"A"
"2020-08";"92.13";"A"
"2020-09";"96.03";"A"
"2020-10";"96.18";"A"
"2020-11";"96.59";"A"
"2020-12";"95.99";"A"
"2021-01";"95.77";"A"
"2021-02";"95.42";"A"
